자치구명,시설구분,주소,위도,경도
광진구,삼일 민물장어,"서울특별시 광진구 천호대로 685, 1,2층 (구의동)",37.550240,127.091274
광진구,원조할아버지 손두부,"서울특별시 광진구 자양로 324, 약수목욕탕 1층 (구의동)",37.554076,127.094193
광진구,탐앤탐스,"서울특별시 광진구 아차산로 426, 1,2,3,4층 (구의동)",37.537842,127.089816
광진구,동서울종합터미널,"서울특별시 광진구 강변역로 50, 동서울종합터미널 2층 (구의동)",37.534539,127.094184
광진구,태평양수산회세꼬시,서울특별시 광진구 군자로 183 (군자동),37.557010,127.078237
광진구,신세계 커피/맥주,"서울특별시 광진구 능동로35길 24 (군자동,지하1층)",37.557098,127.077772
광진구,휴게음식점,"서울특별시 광진구 능동로 289 (군자동,(1층))",37.555790,127.078345
광진구,명륜진사갈비,"서울특별시 광진구 능동로36길 187, 공원갈비 1~2층 (능동)",37.552506,127.088622
광진구,계탄집 본점,"서울특별시 광진구 능동로 31, 지하1층 (자양동)",37.534278,127.067731
광진구,양마니명동찌개마을,"서울특별시 광진구 아차산로 384, 태양빌딩 1층 (자양동)",37.536668,127.085460
광진구,돈돈구이,"서울특별시 광진구 뚝섬로 621, 2층 (자양동)",37.532415,127.078762
광진구,카페 오로시,"서울특별시 광진구 자양로 131, 지층,1층 (자양동)",37.539478,127.082907
광진구,일반음식점,"서울특별시 광진구 자양번영로 77 (자양동,,137,138,139,141)",37.536395,127.076398
광진구,전설의짬뽕,"서울특별시 광진구 아차산로 242, 2층 (자양동)",37.539933,127.069904
광진구,더이퀄리브리엄 커피,"서울특별시 광진구 아차산로30길 7, 3층 (자양동)",37.540354,127.067834
광진구,이디야 커피,"서울특별시 광진구 아차산로30길 8, 2층 (자양동)",37.540400,127.067613
광진구,탐앤탐스,"서울특별시 광진구 아차산로 236, 1층,2층,3층,4층 (자양동)",37.539988,127.069354
광진구,일반음식점,"서울특별시 광진구 능동로 391, 지층 (중곡동)",37.564233,127.083083
광진구,제주탐하리,"서울특별시 광진구 천호대로101길 11 (중곡동,(1층))",37.559732,127.074653
광진구,일반음식점,서울특별시 광진구 면목로 140 (중곡동),37.565768,127.081426
광진구,명륜진사갈비,"서울특별시 광진구 용마산로 110, 토끼빌딩 1층 (중곡동)",37.563394,127.087235
광진구,일반음식점,광진구 능동로 173,37.546229,127.073332
광진구,일반음식점,"서울특별시 광진구 능동로 161, 1-2층 (화양동)",37.545296,127.072751
광진구,일반음식점,"서울특별시 광진구 아차산로29길 7, 3,4층 (화양동)",37.541317,127.068095
광진구,일반음식점,"서울특별시 광진구 아차산로31길 15, 1~2층 (화양동)",37.541797,127.069443
광진구,휴게음식점,"서울특별시 광진구 아차산로33길 60 (화양동,지상1,2,3층)",37.542870,127.071140
광진구,휴게음식점,"서울특별시 광진구 아차산로 207 (화양동,1층)",37.541519,127.066734
광진구,휴게음식점,"서울특별시 광진구 동일로22길 115 (화양동,외 92호(2층))",37.540764,127.070462
광진구,휴게음식점,"서울특별시 광진구 능동로13길 26, 1~4층 (화양동)",37.543237,127.070787
광진구,당구장업,"서울특별시 광진구 광나루로24길 37, 지층, 1층 (화양동)",37.544971,127.077174
광진구,당구장업,"서울특별시 광진구 능동로13길 39, 지층 (화양동, 한아름건물)",37.543959,127.069758
광진구,당구장업,서울특별시 광진구 군자로 52 (화양동),37.547668,127.070537
광진구,당구장업,"서울특별시 광진구 동일로22길 64, 3층 (화양동)",37.541473,127.067677
광진구,당구장업,"서울특별시 광진구 광나루로 354, 지층 (화양동)",37.547948,127.069168
광진구,당구장업,"서울특별시 광진구 아차산로 235, 5층 (화양동)",37.540613,127.069530
광진구,당구장업,서울특별시 광진구 아차산로33길 63 (화양동),37.543020,127.070973
광진구,당구장업,"서울특별시 광진구 동일로 112, 지하1층 (화양동)",37.542540,127.064491
광진구,당구장업,"서울특별시 광진구 광나루로 404, 지층 (화양동)",37.546997,127.074331
광진구,가상체험 체육시설업,"서울특별시 광진구 능동로13길 39, 한아름건물 2층 (화양동)",37.543959,127.069758
광진구,골프연습장업,"서울특별시 광진구 천호대로 512 (군자동, 군자빌딩)",37.558432,127.075309
광진구,골프연습장업,"서울특별시 광진구 군자로 70, 2층 (군자동, 동일흥업주식회사)",37.549060,127.070862
광진구,당구장업,"서울특별시 광진구 군자로 145, 2층 (군자동)",37.554557,127.075323
광진구,당구장업,서울특별시 광진구 군자로 141 (군자동),37.554308,127.074826
광진구,당구장업,"서울특별시 광진구 군자로 180, 201호 (군자동, 한창빌딩)",37.556545,127.078166
광진구,당구장업,"서울특별시 광진구 광나루로 379, 1층 (군자동)",37.548296,127.072087
광진구,당구장업,"서울특별시 광진구 천호대로 528, 지층 (군자동)",37.557847,127.076606
광진구,당구장업,"서울특별시 광진구 동일로 222, 글터빌딩 지하층 (군자동)",37.551448,127.069536
광진구,골프연습장업,"서울특별시 광진구 천호대로 553, 지하1층 (중곡동, 중곡빌딩)",37.557393,127.079912
광진구,골프연습장업,서울특별시 광진구 용마산로 21 (중곡동),37.555608,127.088013
광진구,당구장업,"서울특별시 광진구 능동로 340, 지층 (중곡동)",37.559813,127.081184
광진구,당구장업,"서울특별시 광진구 능동로 378, 지층 (중곡동)",37.562926,127.082894
광진구,당구장업,"서울특별시 광진구 천호대로 591, 지하 1층 (중곡동)",37.555869,127.083733
광진구,당구장업,"서울특별시 광진구 긴고랑로 57, 지하층 (중곡동)",37.562297,127.082817
광진구,당구장업,"서울특별시 광진구 능동로 314, 공영빌딩 지하1층 (중곡동)",37.557619,127.080040
광진구,당구장업,"서울특별시 광진구 천호대로109길 10, 2층 (중곡동)",37.557289,127.081101
광진구,골프연습장업,"서울특별시 광진구 면목로 161, 5층 (중곡동, 중곡빌딩)",37.567709,127.082032
광진구,골프연습장업,서울특별시 광진구 면목로 192 (중곡동),37.570277,127.083366
광진구,당구장업,"서울특별시 광진구 면목로 141, 지하1층 (중곡동)",37.566014,127.081155
광진구,당구장업,"서울특별시 광진구 면목로 161, 3층 (중곡동, 중곡빌딩)",37.567709,127.082032
광진구,가상체험 체육시설업,"서울특별시 광진구 능동로 409, 지1층 (중곡동)",37.565608,127.083812
광진구,골프연습장업,"서울특별시 광진구 용마산로 18, 지하1층 (중곡동)",37.555266,127.088562
광진구,당구장업,"서울특별시 광진구 용마산로 44, 3층 (중곡동)",37.557469,127.088244
광진구,당구장업,"서울특별시 광진구 영화사로 10, 2층 (중곡동)",37.557956,127.088477
광진구,당구장업,"서울특별시 광진구 천호대로129길 29, 3층 (중곡동)",37.553165,127.091124
광진구,당구장업,"서울특별시 광진구 영화사로 32, 2층 (중곡동, 덕흥빌딩)",37.556737,127.090404
광진구,당구장업,"서울특별시 광진구 용마산로 66, 2층 (중곡동)",37.559541,127.087861
광진구,골프연습장업,"서울특별시 광진구 능동로34길 27, 지하1층 (능동, 원진빌딩)",37.555256,127.081018
광진구,당구장업,"서울특별시 광진구 천호대로112길 7, 2층 (능동)",37.555651,127.081595
광진구,당구장업,"서울특별시 광진구 능동로36길 30, 2층 2호 (능동)",37.555718,127.080587
광진구,당구장업,"서울특별시 광진구 천호대로112길 19, 2층 (능동)",37.555199,127.081369
광진구,당구장업,"서울특별시 광진구 아차산로76길 5, 지하1층 (광장동)",37.548015,127.107624
광진구,당구장업,"서울특별시 광진구 아차산로73길 28, 지하1층 (광장동, 대광빌딩)",37.546432,127.103447
광진구,골프연습장업,"서울특별시 광진구 아차산로 353 (자양동, 금강태극빌)",37.537245,127.082094
광진구,당구장업,"서울특별시 광진구 아차산로 353-1, 3층 (자양동)",37.537232,127.082259
광진구,당구장업,"서울특별시 광진구 자양로11길 12, 지층 (자양동)",37.534770,127.083310
광진구,당구장업,"서울특별시 광진구 아차산로 358, 지하1층 (자양동)",37.536537,127.082393
광진구,당구장업,서울특별시 광진구 아차산로 291 (자양동),37.538743,127.075453
광진구,당구장업,서울특별시 광진구 뚝섬로 627 (자양동),37.532273,127.079407
광진구,당구장업,"서울특별시 광진구 뚝섬로 621, 3층 (자양동)",37.532415,127.078762
광진구,당구장업,서울특별시 광진구 자양로13길 73-1 (자양동),37.533291,127.080895
광진구,당구장업,"서울특별시 광진구 자양로15길 46, 지층 (자양동)",37.535475,127.081145
광진구,당구장업,"서울특별시 광진구 자양로 88, 광영빌딩 6층 (자양동)",37.535631,127.084321
광진구,당구장업,"서울특별시 광진구 자양로13길 48, 지하층 (자양동)",37.534338,127.081677
광진구,골프연습장업,"서울특별시 광진구 자양로5길 33, 지하1층 (자양동, 와이엠프라젠스파)",37.530922,127.084141
광진구,체력단련장업,"서울특별시 광진구 자양로5길 33 (자양동, 와이엠프라젠스파)",37.530922,127.084141
광진구,당구장업,"서울특별시 광진구 자양로 49, 3층 (자양동)",37.532179,127.085190
광진구,당구장업,"서울특별시 광진구 자양번영로 33 (자양동, 성보빌딩)",37.532660,127.075297
광진구,당구장업,"서울특별시 광진구 자양번영로 29, 3층 (자양동)",37.532244,127.075186
광진구,골프연습장업,"서울특별시 광진구 능동로 49, 지층 (자양동, 영지빌딩)",37.535815,127.068397
